99995	61985
I(-C,-C,-O)	0	3
C(-Br,-S,=C)	192	102
C(-Cl,-O,=C)	18	9
P(-C,-C,-C,-C,-O)	1	1
C(-Br,-C,-H,-O)	0	1
C(-Cl,-N)	1	2
C(#C,-N)	5	9
P(-C,-C,-O)	1	4
P(-C,-N,-O,=O)	1	4
O(-C,-F)	1	3
S(-N)	9	5
O(-Cl,-P)	0	1
N(-C,=N)	1003	796
B(-B)	0	1
C(-C,-Cl,-H,-O)	0	4
C(-C,-C,=P)	0	7
C(-Br,-C,-C,-Cl)	0	1
N(-Si,=C)	0	2
C(-C,-Cl,-F,-F)	7	5
C(-C,=C)	53029	32706
P(-P,-P)	0	1
F(-S)	2	24
B(-C,-N,-O)	0	12
O(-C)	29547	19430
C(-C,-C,-Cl,-Cl)	25	30
P(-N,-P,-P)	0	1
C(-Br,-C,-F,-F)	1	1
C(-C,-C,=O)	4153	3188
C(-F,-O,=C)	2	3
C(-C,-Cl,-H,-N)	0	1
C(-C,=B)	0	1
P(-C,-C,-C,=S)	1	3
C(-C,-N,-N,-S)	3	1
C(-N,-N,=C)	3341	2022
C(-C,-N,=B)	0	2
N(-C,-N,-S)	30	11
O(-C,=Si)	0	6
C(-S,-Si)	1	0
O(-C,-H)	0	7
C(-B,-H,=C)	2	3
S(-P)	0	1
O(-B)	59	56
P(-C,-C,-O,=O)	5	31
Si(-B,-C,-C,-O)	0	1
N(-C,=P)	0	4
C(-C,-C,=N)	7823	4693
S(-C,-C,-O,-O,=O)	0	1
C(-C,-Cl,=N)	337	215
Si(-F,-F,-N,-N)	0	1
C(-C,-C,-P,-Si)	0	1
P(-O,=C,=O)	0	1
C(-F,-F,-O,-O)	17	7
C(-C,-N,=Si)	0	1
C(-C,-N,=C)	30706	18589
C(-N,-N,-N,-S)	1	0
Si(-C,-O,=O)	0	1
S(-C,-O,=C,=N)	2	1
O(-C,-I)	3	4
C(-H,-O,-P,-S)	0	1
S(-O)	1	2
C(#N,-B)	1	0
B(-C)	0	10
S(-N,-N,=O)	2	2
Si(-C)	0	11
N(-C,=O)	33	31
S(-O,-O)	0	1
C(=C,=C)	11	18
N(-C)	7070	4303
F(-P)	0	3
P(-C,-C,-Cl,-O,-O)	1	0
Cl(-O,=O,=O,=O)	0	3
C(#C,-B)	1	0
P(-Cl,-O,-S,=O)	0	1
C(-C)	40439	25484
N(-Br,-N,-N)	0	1
C(-C,-Si)	66	121
C(-P,-S)	0	2
S(-C,-O,=C,=O)	1	0
P(-C,-C,-C)	7	20
C(#N,-C)	3111	2058
S(-C,-C,-C,-C)	0	8
